ean,product_type_magalu,matched,n_results,product_id,domain_id,status,name,gtin_matches_source,dt,authorized_stores,buy_box_winner,catalog_product_id,date_created,enhanced_content_template_id,enhanced_content_version,family_name,grouper_id,last_updated,parent_id,permalink,presale_info,quality_type,release_info,settings_base_site_product_id,settings_content,settings_exclusive,settings_listing_strategy,settings_ttr,settings_with_enhanced_pictures,short_description_content,short_description_type,type,n_attributes,n_children_ids,n_description_pictures,n_disclaimers,n_enhanced_content_components,n_main_features,n_pdp_types,n_pickers,n_pictures,n_tags,first_picture_url,sibling_product_ids,ingested_at,attributes
7891129611511,Lavadora de Roupas,TRUE,1,MLB68266166,MLB-WASHING_MACHINES,active,Lavadora De Roupas Brastemp Bwf16a9 16kg,,2026-09-15,,,MLB68266166,2026-04-17T21:27:20Z,7f10f594-2cb1-4e23-9d99-709368a91ffa,2.0,Máquina de lavar automática Brastemp hasta 16kg,,2026-07-28T19:24:12Z,MLB67817605,,,COMPLETE,,,fixed,FALSE,catalog_required,2026-09-16T15:43:51.769995329,FALSE,"Lavadora de Roupas Brastemp BWF16A9 16Kg, oferece mais funcionalidade, economia e eficiência no dia a dia. Com sensores inteligentes, economiza até 25 de água, reduz o tempo da lavagem em até 45 minutos e ainda conta com o Ciclo Tira Manchas Advanced, que remove mais de 50 tipos de manchas.


Características:
Potência: 620W
Capacidade: 16kg
Abertura: superior
Painel de controle: digital
Ciclo tira manchas Advanced
Smart Sensor - Lavadora Inteligente
Avança etapas
4 ciclos de lavagem
4 Programa de lavagem
5 níveis de água
Níveis automático de água: Sim
Desligamento automático: Sim
Pré lavagem: Sim
Filtro elimina fiapos: Sim
Função agitação delicada: Sim



Dimensões:
Altura: 106 cm
Largura: 63 cm
Profundidade: 71 cm
Peso: 40,00 kg",plaintext,catalog_product,18,0,0,1,1,2,1,2,10,0,https://http2.mlstatic.com/D_NQ_NP_864203-MLA110567368445_042026-F.jpg,"[""MLB67817606"",""MLB68213281"",""MLB68266166""]",2026-09-15 17:34:45.508427,"{""BRAND"":""Brastemp"",""COLOR"":""Cinza"",""DEPTH"":""71 cm"",""ENERGY_EFFICIENCY"":""A"",""IS_INDUSTRIAL"":""Não"",""POWER_SUPPLY_TYPE"":""Corrente doméstica"",""VOLTAGE"":""127V"",""WEIGHT"":""40 kg"",""WIDTH"":""63 cm"",""HEIGHT"":""1.06 m"",""IS_WASHER_AND_DRYER"":""Não"",""LINE"":""BWF16"",""LOADING_TYPE"":""Superior"",""MAIN_COLOR"":""Cinza"",""MANUFACTURER"":""Whirlpool"",""MODEL"":""BWF16AB"",""WASHING_MACHINE_CAPACITY"":""16 kg"",""WASHING_MACHINE_TYPE"":""Automática""}"
7891356116063,Lavadora de Roupas,TRUE,1,MLB49664529,MLB-WASHING_MACHINES,active,Máquina De Lavar Philco 12kg Inverter Branca Plr12a Econômica Silenciosa,,2026-09-15,,,MLB49664529,2025-05-12T12:25:24Z,,,Máquina de lavar automática Philco hasta 12kg,,2026-06-29T14:46:14Z,MLB49214976,,,COMPLETE,,,fixed,FALSE,catalog_required,2026-09-16T09:38:20.090259128,FALSE,"Lavadora De Roupas 12Kg Philco PLR12A Branca 127v

Com a Lavadora de Roupas Philco PLR12A, você ganha mais tempo para o que realmente importa, sem abrir mão da qualidade e da praticidade na hora de lavar suas roupas.

Transforme sua Lavagem com a Lavadora de Roupas 12Kg Philco PLR12A!

Você merece mais praticidade e agilidade no seu dia a dia. Ela hegou para facilitar sua vida!

Se você está cansado de perder tempo com lavagens demoradas ou resultados insatisfatórios, essa lavadora vai ser a revolução que você precisa para sua rotina.

- Classificação “A” Em Desempenho Global (eficiência Energética, Consumo de Água, Eficiência de Lavagem e Centrifugação)

- Motor Inverter Bldc

- Capacidade de Lavagem 12,0kg

- 16 Programas de Operação – para Escolher o Programa Em Função do Tipo da Roupa e Nível de Sujeira

- Função Adiar Fim

- Ajuste de Programas, Possível Alterar a Quantidade de Enxágues, Rotação da Centrifugação e Temperatura de Lavagem

- Velocidade de Centrifugação de 400, 600, 800, 1000 e 1400 Rpm

- Temperaturas de Lavagem de 20, 30, 40, 60 e 95°c

- Sistema de Segurança de Bloqueio do Painel e da Porta

- Porta Frontal Com Visor Em Vidro Temperado

- Cesto Em Aço Inox

- Dispenser Com 3 Compartimentos para Sabão, Amaciante e Alvejante

- Pés Niveladores Ajustáveis

- Desligamento Automático

- Gabinete Protegido Contra Corrosão

- Voltagem: 127v

• Informações Fornecidas Pelo Fabricante.",plaintext,catalog_product,44,0,0,1,0,6,1,2,9,0,https://http2.mlstatic.com/D_NQ_NP_669160-MLA99468692072_112025-F.jpg,"[""MLB49214977"",""MLB49664529""]",2026-09-15 17:34:45.508427,"{""COLOR"":""Branco"",""CONTROL_TYPES"":""Botões|Manípulos"",""DEPTH"":""60 cm"",""DISPLAY_TYPE"":""LED"",""DRUMS_NUMBER"":""1"",""DRUM_MATERIAL"":""Aço inoxidável"",""HEIGHT"":""85 cm"",""IS_INDUSTRIAL"":""Não"",""LOADING_TYPE"":""Frontal"",""MAIN_COLOR"":""Branco"",""MANUFACTURER"":""Philco"",""POWER_SUPPLY_TYPE"":""Corrente doméstica"",""VOLTAGE"":""127V"",""WASHING_MACHINE_TYPE"":""Automática"",""WASH_CYCLES_NUMBER"":""12"",""WASH_SYSTEM"":""Europeia"",""WATER_LOAD_TYPES"":""Automática"",""WIDTH"":""60 cm"",""WITH_ANTI_CREASE_FUNCTION"":""Sim"",""WITH_DELAY_START"":""Sim"",""WITH_DISPLAY"":""Sim"",""WITH_DOOR_SAFETY_BLOCK"":""Sim"",""WITH_DRAIN_PUMP"":""Sim"",""WITH_INVERTER_TECHNOLOGY"":""Sim"",""WITH_QUICK_WASH"":""Sim"",""WITH_SMARTPHONE_CONTROL_FUNCTION"":""Não"",""WITH_SPIN"":""Sim"",""WITH_SPIN_AUTOBALANCE"":""Sim"",""WITH_SPIN_SPEED_REGULATION"":""Sim"",""WITH_TEMPERATURE_REGULATOR"":""Sim"",""WITH_WI_FI_CONNECTION"":""Não"",""BRAND"":""Philco"",""ENERGY_EFFICIENCY"":""A"",""IS_PORTABLE"":""Não"",""IS_WASHER_AND_DRYER"":""Não"",""MODEL"":""PLR12A"",""WASHING_MACHINE_CAPACITY"":""12 kg"",""WASHING_PROGRAMS"":""Roupa de cama|Delicados"",""WATER_TEMPERATURE"":""Fria|30°C|40°C|60°C"",""WITH_FILTER"":""Sim"",""WITH_FINISH_ALARM"":""Sim"",""WITH_PANEL_BLOCK"":""Sim"",""WITH_POSITIVE_IMPACT"":""Sim"",""WITH_SELF_ADAPTATIVE_LOAD"":""Sim""}"
7892212373859,Sofá,FALSE,0,,,,,,2026-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-15 17:34:45.508427,
7892509136280,TV,TRUE,1,MLB39022974,MLB-TELEVISIONS,active,Smart Tv 50'' Samsung Lh50bedhvggxzd Led Crystal Uhd 4k Hdr,,2026-09-15,,,MLB39022974,2024-08-05T15:32:21Z,,,Smart Tv 50'' Samsung Lh50bedhvggxzd Led Crystal Uhd 4k Hdr,,2026-06-30T14:54:08Z,,,,COMPLETE,,,fixed,FALSE,catalog_required,2026-09-16T02:09:17.387712011,FALSE,"Smart TV Business Samsung 50"" Ultra HD Crystal 4K LH50BEDHVGGXZD Tizen HDMI USB Wi-Fi Bluetooth Ethernet

A Samsung é reconhecida mundialmente como uma empresa líder na indústria da tecnologia. Todos os seus produtos são projetados com qualidade superior e pensados para contribuir para um futuro melhor. Portanto, fará com que você tenha uma experiência incomparável.

Com TV LH50BEDHVGGXZD você poderá desfrutar de seu conteúdo favorito, como filmes e programas de interesse, com grande qualidade e a partir do conforto de sua poltrona.

TVs comerciais são fundamentais em vários tipos de negócio graças a conveniência, praticidade e agilidade que conferem ao serviço. Não é fácil manter conteúdo atualizado em tela diante de recursos limitados – e é aí que a TV Comercial da Samsung conquista o mercado, pois maximiza os benefícios de um televisor convencional, já que se integra ao app de gestão de conteúdo e dá autonomia para as próprias empresas realizarem seus ajustes conforme seu tempo e necessidade, garantindo máxima produtividade ao dia.

Business TV - Uma TV criada para sua empresa :

Capture a imaginação dos seus clientes e divulgue sua marca de forma mais eficaz com a série BED-H da Samsung Business TV. Oferecendo qualidade de imagem UHD e funcionalidade flexível por meio de operação simplificada, a série BED-H é a solução ideal para uma ampla gama de necessidades comerciais.

Conteúdo Embalagem:

1x Smart TV Samsung 50"" Business Ultra HD Crystal 4K LH50BEDHVGGXZD Tizen HDMI USB Wi-Fi Bluetooth Ethernet

Suporte para mini montagem em parede


Dimensão do conjunto (LxAxP) :1120.3 x 647.0 x 60.0 mm

Peso do conjunto : 9.1 kg

Tela

Tamanho diagonal (Inch)50""

Tamanho diagonal (cm)125.7 cm

Resolução da tela 4K (3,840 x 2,160)

Operação 16/7

Tamanho da Tela (Polegadas)
50""

ESPECIFICAÇÕES TÉCNICAS

Tamanho da Tela (cm)
125.7 cm

Resolução
4K (3,840 x 2,160)

Hora de Operação
16/7

Mecanismo de imagem

Crystal Processor 4K

HDR10+ Support

Tipo de alto-falante 2CH
Áudio Bluetooth

Smart Service
Tizen™ Smart TV

Bixby

Assistente de voz integrado Alexa

Navegador de Web

Média Home

Smart Feature

Mobile to TV, Sound Mirroring, Wireless TV On

Workspace

Conectividade
HDMI 3

USB 1 x USB-A

Ethernet (LAN)

Entrada de RF (terrestre/entrada de cabo/entrada de satélite)

Canal de retorno de áudio HDMI

Wi-Fi

Bluetooth (BT)

Design
Visual fino

3 Bezel-less

Preto

FLAT FEET

Acessórios

Suporte para mini montagem em parede",plaintext,catalog_product,28,0,0,0,0,1,1,0,10,0,https://http2.mlstatic.com/D_NQ_NP_744440-MLA99458039046_112025-F.jpg,,2026-09-15 17:34:45.508427,"{""BRAND"":""Samsung"",""COLOR"":""Preto"",""HDMI_PORTS_NUMBER"":""3"",""HEIGHT"":""64.7 cm"",""IS_CURVED"":""Não"",""IS_PORTABLE"":""Não"",""IS_SMART"":""Sim"",""LINE"":""Business"",""RESOLUTION_TYPE"":""4K"",""WEIGHT"":""9.1 kg"",""WITH_WI_FI"":""Sim"",""ALPHANUMERIC_MODEL"":""LH50BEDHVGGXZD"",""DEPTH"":""6 cm"",""DISPLAY_SIZE"":""50 \"""",""INTEGRATED_VIRTUAL_ASSISTANTS"":""Alexa"",""IS_3D"":""Não"",""MANUFACTURER"":""Xiaomi"",""MAX_RESOLUTION"":""3840x2160"",""MODEL"":""LH50BEDHVGGXZD"",""OPERATIVE_SYSTEM"":""Tizen Smart TV"",""USB_PORTS_NUMBER"":""1"",""VOLTAGE"":""127/220V"",""WIDTH"":""1.12 m"",""WITH_BLUETOOTH"":""Sim"",""WITH_ETHERNET_PORT"":""Sim"",""WITH_HDMI"":""Sim"",""WITH_HDR"":""Sim"",""WITH_USB"":""Sim""}"
7890913756995,Guarda-roupa,FALSE,0,,,,,,2026-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-15 17:34:45.508427,
7892654857542,Smartphone,FALSE,0,,,,,,2026-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-15 17:34:45.508427,
7891129628076,Refrigerador,FALSE,0,,,,,,2026-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-15 17:34:45.508427,
7891356134456,Microondas,TRUE,1,MLB75888220,MLB-MICROWAVES,active,Philco Branca PMO31B Corrente doméstica - Branco,,2026-09-15,,,MLB75888220,2026-07-29T07:23:01Z,,,Micro-ondas Philco Branca PMO31B PMO31B,,2026-07-29T07:35:14Z,MLB75888214,,,COMPLETE,,,fixed,FALSE,catalog_required,2026-09-15T23:22:21.504955659,FALSE,"Micro-ondas Philco PMO31B 28L Branco 220V

O Micro-ondas Philco PMO31B possui 28 litros de capacidade total (14 L úteis) e 1100W de potência, proporcionando aquecimento rápido e eficiente. Com classificação energética A, oferece desempenho otimizado.

Funcionalidades:
- Descongelar por Tempo ou Peso: permite ajustes conforme a necessidade, com sinal sonoro para virar o alimento.
- Tecnologia Pintura Limpa Fácil: acabamento interno que facilita a higienização.
- Função Tira Odor: elimina cheiros entre preparos.
- Função Manter Aquecido: conserva os alimentos na temperatura ideal.
- Menu Fit: opções para sopa, legumes e batata.
- Receitas pré-programadas: Lasanha, Pizza, Pipoca, Brigadeiro e Bolo de Caneca.
- Recursos adicionais: Botão +30 Segundos, display digital, função relógio, trava de segurança e opção de silenciar o teclado.
- 10 níveis de potência.

Especificações Técnicas:
Marca: Philco
Modelo: PMO31B
Tipo: Micro-ondas de bancada
Cor: Branco
Capacidade total: 28 litros
Capacidade útil: 14 litros
Potência: 1100 W
Níveis de potência: 10
Classificação energética: A (consumo 220V: 55,2 kWh/ano)
Display digital: Sim
Diâmetro do prato giratório: 285 mm
Tensão/Frequência: 220V 60Hz
Corrente: 10A
Pinos do plugue: 3
Comprimento do cabo: 1 m
Material: Metal, vidro e plástico
Acessórios: Prato e suporte giratório

Dimensões e Peso:
Produto (L x A x P): 48,7 x 28,7 x 39,7 cm
Peso líquido: 11,84 kg",plaintext,catalog_product,20,0,0,0,0,4,1,2,8,0,https://http2.mlstatic.com/D_NQ_NP_656838-MLA115274754477_072026-F.jpg,"[""MLB75888220""]",2026-09-15 17:34:45.508427,"{""COLOR"":""Branco"",""MAIN_COLOR"":""Branco"",""MANUFACTURER"":""Britânia"",""POWER_SUPPLY_TYPE"":""Corrente doméstica"",""VOLTAGE"":""220V"",""WITH_DIGITAL_DISPLAY"":""Sim"",""WITH_MIRRORED_DOOR"":""Não"",""WITH_TURNTABLE"":""Sim"",""ALPHANUMERIC_MODEL"":""PMO31B"",""BRAND"":""Philco"",""DEPTH"":""39.7 cm"",""HEIGHT"":""28.7 cm"",""LINE"":""Branca"",""MICROWAVE_MOUNTING_TYPES"":""De bancada"",""MODEL"":""PMO31B"",""POWER"":""1.1 kW"",""WEIGHT"":""11.84 kg"",""WIDTH"":""48.47 cm"",""WITH_CHILD_SAFETY_LOCK"":""Sim"",""WITH_DEODORIZING_FUNCTION"":""Sim""}"
7891760105943,Armário,TRUE,1,MLB63366737,MLB-KITCHEN_CABINETS,active,Armário Cozinha Completa Canto 445cm Suspe Nice Madesa 04 Ci Cinza,,2026-09-15,,,MLB63366737,2025-12-20T14:49:33Z,,,Armário Madesa Agata G241537GAG mdp,,2026-09-07T18:29:49Z,MLB27691905,,,COMPLETE,,,fixed,FALSE,catalog_required,2026-09-16T03:11:52.857331948,FALSE,"A Cozinha Nice combina um visual moderno e características que facilitam o uso no dia a dia.

A linha Nice se diferencia por ser suspensa, acompanhando ferragens para fixação. O acabamento de alta resistência em cinza e os puxadores em alumínio reforçam o visual moderno, enquanto as corrediças proporcionam abertura total das gavetas. Os balcões acompanham tampo, garantindo praticidade.

O destaque fica por conta do armário aéreo com porta de vidro neutral, adega integrada e torre quente com espaço dedicado para forno ou micro-ondas.

Medidas totais:
- 211 cm de altura
- 445 cm de largura
- 52 cm de profundidade nos balcões e torre quente e 31 cm nos aéreos

Informações técnicas:
- Material: MDP
- Peso total suportado: 283 kg

O que você recebe:
- Uma Torre Quente de 60cm
- Um Aéreo de 120cm
- Dois Balcões de 120cm
- Um Aéreo de Canto com adega acoplada
- Um Balcão de Canto
- Um aéreo de 120cm com vidro pontilhado

Imagens meramente ilustrativas, a decoração não acompanha o produto.
O produto segue com manual de instalação e todas as ferragens necessárias para sua montagem.

A Madesa possui compromisso com a sustentabilidade. Geramos energia limpa em nossa própria usina, priorizamos fornecedores responsáveis e utilizamos plástico reciclado em nossa produção. Além disso, reinserimos sobras no ciclo de reciclagem e investimos no desenvolvimento de nossos colaboradores e da comunidade.",plaintext,catalog_product,15,0,0,0,0,6,1,1,10,0,https://http2.mlstatic.com/D_NQ_NP_910601-MLA101996224147_122025-F.jpg,"[""MLB69137524"",""MLB63366737"",""MLB29143347"",""MLB41994083"",""MLB68885937"",""MLB69683680"",""MLB52511510"",""MLB27683016"",""MLB30071738"",""MLB67600100"",""MLB28445097"",""MLB27691908"",""MLB28993008"",""MLB66903561"",""MLB28315719"",""MLB63288140"",""MLB63471636"",""MLB28360248"",""MLB63139896""]",2026-09-15 17:34:45.508427,"{""DOORS_NUMBER"":""13"",""DRAWERS_NUMBER"":""1"",""MAIN_COLOR"":""Cinza"",""MODEL"":""G258005ZGL"",""PANTRY_WEIGHT"":""17.1 kg"",""BODY_MATERIALS"":""MDP"",""BRAND"":""Madesa"",""COLOR"":""Cinza"",""INCLUDES_ASSEMBLY_MANUAL"":""Sim"",""INCLUDES_COUNTERTOP"":""Não"",""KITCHEN_FURNITURE_TYPE"":""Armário"",""LINE"":""Agata"",""PACKAGING_BOXES_NUMBER"":""9"",""REQUIRES_ASSEMBLY"":""Sim"",""SHELVES_NUMBER"":""1""}"
7891760927224,Armário,TRUE,1,MLB28573647,MLB-KITCHEN_CABINETS,active,Armário De Cozinha Compacta 120cm Madesa Rustic Glamy 08,,2026-09-15,,,MLB28573647,2023-11-30T19:28:39Z,,,Balcão Madesa GLamy GRGL1200085Z mdp,,2025-07-22T01:29:22Z,MLB28573644,,,COMPLETE,,,fixed,FALSE,catalog_required,2026-09-17T08:00:52.677123365,FALSE,"Armário De Cozinha Compacta 120cm Rustic Glamy Madesa 08 é um móvel moderno e prático, ideal para ambientes que buscam aproveitamento eficiente do espaço.

Este móvel inclui dois armários aéreos e um balcão, proporcionando amplo espaço interno e externo para acomodar utensílios e louças. Sua versatilidade permite que seja utilizado também para organizar o espaço do café.

Os materiais utilizados na fabricação são de alta qualidade, com corrediças telescópicas, puxadores com perfil total em alumínio e dobradiças com sistema de amortecimento para um fechamento suave das portas. Os pés são reguláveis em PVC e o rodapé é removível em MDP.

O acabamento Rustic amadeirado é realizado com Pintura Poliéster ecológica, que conta com 7 camadas de proteção resistentes a álcool, água e calor.

O armário pode ser complementado por módulos avulsos da linha Glamy da Madesa.

Medidas totais:
- Altura: 225 cm
- Largura: 120 cm
- Profundidade no balcão: 52 cm
- Profundidade nos aéreos: 31 cm

Itens inclusos:
- Um Aéreo de 80 cm com duas portas
- Um Aéreo de 40 cm com dois nichos abertos
- Um Balcão de 120 cm com uma porta, duas gavetas e tampo

Código do produto: GRGL1200085Z

Observações:
- As imagens são ilustrativas, não incluem pia, eletrodomésticos nem decoração.
- O produto é acompanhado de manual e todas as ferragens necessárias para a instalação.",plaintext,catalog_product,23,0,0,0,0,6,1,1,9,0,https://http2.mlstatic.com/D_NQ_NP_625378-MLA100080541863_122025-F.jpg,"[""MLB28573647""]",2026-09-15 17:34:45.508427,"{""CABINET_WIDTH"":""120 cm"",""COLOR"":""Rustic"",""DOORS_NUMBER"":""3"",""HANDLES_MATERIAL"":""Metal"",""INCLUDES_COUNTERTOP"":""Sim"",""KITCHEN_FURNITURE_TYPE"":""Balcão"",""LINE"":""GLamy"",""MODEL"":""GRGL1200085Z"",""PANTRY_DEPTH"":""31 cm"",""REQUIRES_ASSEMBLY"":""Sim"",""STYLE"":""Moderno"",""WITH_SHELVES"":""Sim"",""BODY_MATERIALS"":""MDP"",""BRAND"":""Madesa"",""CABINET_DEPTH"":""52 cm"",""CABINET_HEIGHT"":""84 cm"",""DETAILED_MODEL"":""Glamy"",""DOORS_MATERIALS"":""MDP"",""DRAWERS_NUMBER"":""2"",""INCLUDES_ASSEMBLY_MANUAL"":""Sim"",""PANTRY_HEIGHT"":""225 cm"",""PANTRY_WIDTH"":""120 cm"",""SLIDES_MATERIAL"":""Metal""}"
